parity,days_in_milk,breed,milk_yield_kg,scc,electrical_conductivity,activity_steps,rumination_time,body_temp,milk_fat_pct,milk_protein_pct,mastitis,log_scc,yield_deviation,early_lactation,stress_score
2,147,0,28.950828146669508,45776.53118897657,5.172669099592471,3827,412,38.77913677560376,3.4158852788867127,3.4470500357346143,0,10.731526819315901,0.9508281466695081,0,0
3,110,1,26.651763430453872,75399.78420032264,4.534906076525753,2771,478,38.97495473799548,3.398707924585887,3.054423490702099,0,11.230559691927265,-1.3482365695461276,0,1
3,211,1,33.78738563543331,29624.427865803194,5.686264139252778,2605,426,38.86159234226004,3.063392687971019,3.3909640296417445,0,10.296354565704215,5.78738563543331,0,1
1,159,1,36.31383722598926,12504.023178581148,4.71088872533287,2484,518,38.44426828264979,3.8215917029262148,3.240074777897926,0,9.433805725792904,8.31383722598926,0,1
2,43,0,25.52336790539835,27596.1589296208,4.943851699849731,4373,531,38.423554412112246,4.40301334214586,3.552299141353169,0,10.22543187280367,-2.4766320946016513,1,0
1,130,0,34.16081762055307,38244.494704038545,4.522513854561579,3319,466,38.75472120405811,3.5784606695654335,3.717844535504166,0,10.551754899589683,6.160817620553068,0,0
1,73,0,32.39662691510026,57693.31956781576,4.744365377647331,4114,478,38.72586737066528,3.5020918056440733,3.661106414400317,0,10.96289666707262,4.3966269151002635,1,0
3,104,0,30.645046602048637,21703.39406960699,4.644395167604925,3707,547,38.607184964866526,3.9927837184682766,3.078487692454386,0,9.985223936035629,2.6450466020486374,0,0
2,68,0,26.980039290041976,18811.042789447816,4.674685390328635,4355,491,38.898924178822135,3.159042548580953,2.8488287933239356,0,9.842199358793948,-1.0199607099580241,1,0
1,139,0,32.19479435577182,34275.2414575584,5.271286533269538,4185,495,38.284756922317484,4.124708350091164,3.1233995537143886,0,10.442178549119294,4.194794355771819,0,0
2,67,0,24.404442818317126,34358.78341907071,5.373686445918265,3958,536,38.91457198059917,4.13779037900043,3.474208027730837,0,10.444612968575855,-3.5955571816828744,1,0
5,245,1,30.054347475668877,59196.09374916008,5.15835149173927,4512,485,39.11683370996813,3.913714373487084,3.109216433663778,0,10.988610834728169,2.0543474756688767,0,0
1,86,0,34.62355223530327,14549.055784463919,4.686972083583193,3145,465,38.578881943632176,4.584914207640126,2.8923774961739777,0,9.585281375955335,6.623552235303272,1,0
2,280,0,36.030420338219976,56374.7135066864,4.728669787002762,4373,455,38.61967637605095,3.602628885855391,3.0679562644655656,0,10.939775994870761,8.030420338219976,0,0
1,291,0,24.16481236625591,17590.429525951415,4.94417640140411,3967,485,38.845717791818494,3.169588091882027,3.4900099597095005,0,9.775110256191368,-3.8351876337440913,0,0
1,79,0,28.89130895878313,11914.556071495379,4.242565000205809,2599,565,38.780721908523375,3.8781512641772253,3.3338113695297165,0,9.385516130886199,0.8913089587831315,1,1
2,98,0,28.15033193822596,29362.439317372893,3.976537276178776,5053,550,38.52151246578569,3.4661157690913837,3.6703263500161243,0,10.287471562294037,0.15033193822596047,1,0
3,98,1,14.443749564268586,1755956.5829101347,5.5073505692554905,1770,316,39.07472112134491,3.4892161252862577,3.697735830819947,1,14.378524327877303,-13.556250435731414,1,2
2,253,1,24.60643519237563,15120.95203001931,4.947403577634706,3615,458,38.76701357603894,3.742809118405211,2.7834515063488117,0,9.623836612699682,-3.3935648076243687,0,0
2,28,0,25.30472330608659,493632.5019387893,5.497275783912643,2895,362,39.96556543000033,3.014822575400837,3.4845812032093626,1,13.109546596121053,-2.69527669391341,1,2
1,66,0,22.730045052394605,200000.0,6.182496901191559,3792,203,40.06450072824385,3.2074053505319506,3.4163947990706443,1,12.206072645530174,-5.269954947605395,1,2
1,150,0,27.31520266899056,35546.11040760697,4.358177707092675,4779,471,38.887689478190616,3.695876440829397,3.1258310969331746,0,10.47858601736381,-0.6847973310094417,0,0
5,225,1,33.092530255857724,161231.24703149928,4.9719063402435655,3911,530,38.654829660457374,3.6867554368541047,3.2621556333995705,0,11.990594930415869,5.092530255857724,0,0
2,153,0,12.25828530432334,200000.0,5.950292553097837,2886,280,39.59946825195245,3.6197539593125785,3.5598944174512344,1,12.206072645530174,-15.74171469567666,0,2
3,83,0,45.04867018775029,56682.327805243745,4.9833436499849935,3908,527,38.76796121423573,4.449490879218679,3.164700396209691,0,10.94521776221401,17.04867018775029,1,0
1,108,1,24.172710708089767,565921.992075704,7.5507180257239295,2419,453,39.48047586488946,2.4628316479142813,3.2071463534536973,1,13.24621152449903,-3.8272892919102333,0,2
