cow_lactation_id,cow_id,herd_id,parity_prior_lactation,n_scc_records_previous_lactation,dry_off_scc_missing,dry_off_clinical_mastitis_within_7d,dry_off_imi_status_paper_rule,calving_interval_days,lactation_length_days,month_of_dry_off,month_of_calving,first_scc_prev_lactation_cells_ml,median_scc_prev_lactation_cells_ml,mean_scc_prev_lactation_cells_ml,min_scc_prev_lactation_cells_ml,max_scc_prev_lactation_cells_ml,mean_first3_scc_prev_lactation_cells_ml,mean_last3_scc_prev_lactation_cells_ml,ratio_last3_to_first3_scc,last_scc_prev_lactation_cells_ml,consecutive_3_scc_gt_200k_prev_lactation,pct_scc_lt_50k_prev_lactation,pct_scc_gt_100k_prev_lactation,pct_scc_gt_200k_prev_lactation,pct_scc_gt_400k_prev_lactation,pct_scc_gt_1000k_prev_lactation,peak_yield_prev_lactation_kg,yield_at_last_recording_kg,herd_new_dry_period_imi_6mo_rate,herd_new_dry_period_imi_year_rate,herd_mean_scc_k_cells_ml,herd_predicted_305d_yield_l,post_calving_sample_day,post_calving_scc_cells_ml,post_calving_scc_threshold_used_cells_ml,clinical_mastitis_within_30d_post_calving,raised_scc_post_calving_paper_rule,normal_scc_post_calving_paper_rule
CL-00001,COW-00001,HERD-004,4,10,0,0,0,377,292,5,7,64151,35958,55188,19654,122461,37255,64792,1.739,122461,0,60,20,0,0,0,40.26,29.4,0.144,0.13,327.3,9167,10,31010,200000,0,0,1
CL-00002,COW-00001,HERD-062,3,9,0,0,0,442,326,12,2,55267,100023,121089,55267,288195,72091,99892,1.386,100023,0,0,55.6,11.1,0,0,38.72,28.63,0.221,0.198,312.5,12850,30,339044,200000,0,1,0
CL-00003,COW-00002,HERD-051,4,8,0,0,0,477,371,10,12,15358,20013,22358,8181,52871,19927,30072,1.509,25905,0,87.5,0,0,0,0,52.25,42,0.112,0.117,238.8,6737,14,135891,200000,0,0,1
CL-00004,COW-00002,HERD-013,1,10,0,0,0,395,278,5,7,620895,191120,259837,86916,620895,305765,242651,0.794,92631,0,0,80,40,20,0,36.48,18.73,0.132,0.157,240.9,7396,11,51384,200000,0,0,1
CL-00005,COW-00003,HERD-072,2,7,0,0,0,324,325,3,6,38014,60172,58592,31177,89548,60636,56021,0.924,89548,0,42.9,0,0,0,0,36.9,23.67,0.191,0.164,259,11562,12,98667,200000,0,0,1
CL-00006,COW-00003,HERD-002,2,7,0,0,0,376,335,5,7,36526,29487,32584,13967,61329,40736,30637,0.752,40550,0,85.7,0,0,0,0,43.17,34.16,0.055,0.105,133.7,10327,20,105641,200000,0,0,1
CL-00007,COW-00004,HERD-013,1,8,0,0,0,338,254,2,5,39801,62210,65861,30012,112251,86234,49246,0.571,84618,0,50,25,0,0,0,41.98,23.72,0.132,0.157,240.9,7396,5,53401,200000,0,0,1
CL-00008,COW-00004,HERD-050,2,12,0,0,0,492,365,5,7,96518,47569,68546,14583,225614,87767,42765,0.487,44557,0,58.3,16.7,8.3,0,0,40.16,27.8,0.181,0.173,88.8,8329,13,46406,200000,0,0,1
CL-00009,COW-00005,HERD-079,2,11,0,0,0,412,295,5,8,65372,89592,134145,43791,467606,230354,92229,0.4,89592,0,9.1,45.5,9.1,9.1,0,51.14,38.3,0.139,0.152,236.2,11514,2,249274,400000,1,1,0
CL-00010,COW-00005,HERD-054,3,11,0,0,0,407,350,3,5,102719,60895,76753,23297,174775,66907,71943,1.075,23297,0,45.5,27.3,0,0,0,46.05,30.83,0.151,0.134,186.5,11230,1,56613,400000,0,0,1
